# Easier to see which instruction is in IR.
69 ADC_IMM
29 AND_IMM
C9 CMP_IMM
E0 CPX_IMM
C0 CPY_IMM
49 EOR_IMM
A9 LDA_IMM
A2 LDX_IMM
A0 LDY_IMM
09 ORA_IMM
E9 SBC_IMM
0A ASL_ACC
00 BRK_IMP
18 CLC_IMP
D8 CLD_IMP
58 CLI_IMP
B8 CLV_IMP
CA DEX_IMP
88 DEY_IMP
E8 INX_IMP
C8 INY_IMP
4A LSR_ACC
EA NOP_IMP
48 PHA_IMP
08 PHP_IMP
28 PLP_IMP
68 PLA_IMP
2A ROL_ACC
6A ROR_ACC
40 RTI_IMP
60 RTS_IMP
38 SEC_IMP
F8 SED_IMP
78 SEI_IMP
AA TAX_IMP
A8 TAY_IMP
BA TSX_IMP
8A TXA_IMP
9A TXS_IMP
98 TYA_IMP
4C JMP_ABS
20 JSR_ABS
6D ADC_ABS
2D AND_ABS
0E ASL_ABS
2C BIT_ABS
CD CMP_ABS
EC CPX_ABS
CC CPY_ABS
CE DEC_ABS
4D EOR_ABS
EE INC_ABS
AD LDA_ABS
AE LDX_ABS
AC LDY_ABS
4E LSR_ABS
0D ORA_ABS
2E ROL_ABS
6E ROR_ABS
ED SBC_ABS
8D STA_ABS
8E STX_ABS
8C STY_ABS
7D ADC_ABX
3D AND_ABX
1E ASL_ABX
DD CMP_ABX
DE DEC_ABX
5D EOR_ABX
FE INC_ABX
BD LDA_ABX
BC LDY_ABX
5E LSR_ABX
1D ORA_ABX
3E ROL_ABX
7E ROR_ABX
FD SBC_ABX
9D STA_ABX
79 ADC_ABY
39 AND_ABY
D9 CMP_ABY
59 EOR_ABY
B9 LDA_ABY
BE LDX_ABY
19 ORA_ABY
F9 SBC_ABY
99 STA_ABY
61 ADC_INX
21 AND_INX
C1 CMP_INX
41 EOR_INX
A1 LDA_INX
01 ORA_INX
E1 SBC_INX
81 STA_INX
71 ADC_INY
31 AND_INY
D1 CMP_INY
51 EOR_INY
B1 LDA_INY
11 ORA_INY
F1 SBC_INY
91 STA_INY
65 ADC_ZPG
25 AND_ZPG
06 ASL_ZPG
24 BIT_ZPG
C5 CMP_ZPG
E4 CPX_ZPG
C4 CPY_ZPG
C6 DEC_ZPG
45 EOR_ZPG
E6 INC_ZPG
A5 LDA_ZPG
A6 LDX_ZPG
A4 LDY_ZPG
46 LSR_ZPG
05 ORA_ZPG
26 ROL_ZPG
66 ROR_ZPG
E5 SBC_ZPG
85 STA_ZPG
86 STX_ZPG
84 STY_ZPG
75 ADC_ZPX
35 AND_ZPX
16 ASL_ZPX
D5 CMP_ZPX
D6 DEC_ZPX
55 EOR_ZPX
F6 INC_ZPX
B5 LDA_ZPX
B4 LDY_ZPX
56 LSR_ZPX
15 ORA_ZPX
36 ROL_ZPX
76 ROR_ZPX
F5 SBC_ZPX
95 STA_ZPX
94 STY_ZPX
B6 LDX_ZPY
96 STX_ZPY
90 BCC_REL
B0 BCS_REL
F0 BEQ_REL
30 BMI_REL
D0 BNE_REL
10 BPL_REL
50 BVC_REL
70 BVS_REL
6C JMP_IND
