# Please add more if you update opCodeHex.sv
069 ADC_IMM
029 AND_IMM
0C9 CMP_IMM
0E0 CPX_IMM
0C0 CPY_IMM
049 EOR_IMM
0A9 LDA_IMM
0A2 LDX_IMM
0A0 LDY_IMM
009 ORA_IMM
0E9 SBC_IMM
00A ASL_ACC
000 BRK_IMP
018 CLC_IMP
0D8 CLD_IMP
058 CLI_IMP
0B8 CLV_IMP
0CA DEX_IMP
088 DEY_IMP
0E8 INX_IMP
0C8 INY_IMP
04A LSR_ACC
0EA NOP_IMP
048 PHA_IMP
008 PHP_IMP
028 PLP_IMP
068 PLA_IMP
02A ROL_ACC
06A ROR_ACC
040 RTI_IMP
060 RTS_IMP
038 SEC_IMP
0F8 SED_IMP
078 SEI_IMP
0AA TAX_IMP
0A8 TAY_IMP
0BA TSX_IMP
08A TXA_IMP
09A TXS_IMP
098 TYA_IMP
04C JMP_ABS
020 JSR_ABS
06D ADC_ABS
02D AND_ABS
00E ASL_ABS
02C BIT_ABS
0CD CMP_ABS
0EC CPX_ABS
0CC CPY_ABS
0CE DEC_ABS
04D EOR_ABS
0EE INC_ABS
0AD LDA_ABS
0AE LDX_ABS
0AC LDY_ABS
04E LSR_ABS
00D ORA_ABS
02E ROL_ABS
06E ROR_ABS
0ED SBC_ABS
08D STA_ABS
08E STX_ABS
08C STY_ABS
07D ADC_ABX
03D AND_ABX
01E ASL_ABX
0DD CMP_ABX
0DE DEC_ABX
05D EOR_ABX
0FE INC_ABX
0BD LDA_ABX
0BC LDY_ABX
05E LSR_ABX
01D ORA_ABX
03E ROL_ABX
07E ROR_ABX
0FD SBC_ABX
09D STA_ABX
079 ADC_ABY
039 AND_ABY
0D9 CMP_ABY
059 EOR_ABY
0B9 LDA_ABY
0BE LDX_ABY
019 ORA_ABY
0F9 SBC_ABY
099 STA_ABY
061 ADC_INX
021 AND_INX
0C1 CMP_INX
041 EOR_INX
0A1 LDA_INX
001 ORA_INX
0E1 SBC_INX
081 STA_INX
071 ADC_IDY
031 AND_IDY
0D1 CMP_IDY
051 EOR_IDY
0B1 LDA_IDY
011 ORA_IDY
0F1 SBC_IDY
091 STA_IDY
065 ADC_ZPG
025 AND_ZPG
006 ASL_ZPG
024 BIT_ZPG
0C5 CMP_ZPG
0E4 CPX_ZPG
0C4 CPY_ZPG
0C6 DEC_ZPG
045 EOR_ZPG
0E6 INC_ZPG
0A5 LDA_ZPG
0A6 LDX_ZPG
0A4 LDY_ZPG
046 LSR_ZPG
005 ORA_ZPG
026 ROL_ZPG
066 ROR_ZPG
0E5 SBC_ZPG
085 STA_ZPG
086 STX_ZPG
084 STY_ZPG
075 ADC_ZPX
035 AND_ZPX
016 ASL_ZPX
0D5 CMP_ZPX
0D6 DEC_ZPX
055 EOR_ZPX
0F6 INC_ZPX
0B5 LDA_ZPX
0B4 LDY_ZPX
056 LSR_ZPX
015 ORA_ZPX
036 ROL_ZPX
076 ROR_ZPX
0F5 SBC_ZPX
095 STA_ZPX
094 STY_ZPX
0B6 LDX_ZPY
096 STX_ZPY
090 BCC_REL
0B0 BCS_REL
0F0 BEQ_REL
030 BMI_REL
0D0 BNE_REL
010 BPL_REL
050 BVC_REL
070 BVS_REL
06C JMP_IND
#Special:
101 fetch1
102 fetch2
103 IMM
104 IMP_ACC
105 ABS_1
106 ABS_2
107 ABS_RMW_R
108 ABS_RMW_W
109 ZPG
10a ZPG_W
10b ZPG_R
10c BXX
10d BXX_CHECK
10e BXX_TAKEN
10f BXX_PAGE
111 ZPG_X
112 ZPG_Y
113 ABS_X
114 ABS_Y
115 ABS_XYR
116 ABS_XYR_PAGE
117 INDIRECT_1
118 XID_1
119 XID_2
11a XID_3
11b XID_4
11c XIC_r
11d XID_W
11e IDY_1
11f IDY_2
120 IDY_3
121 IDY_R
122 IDY_W
# ABX/Y read instructions require extra unique states:
2BD LDA_ABX_PG
2B9 LDA_ABY_PG
2BC LDY_ABX_PG
2BE LDX_ABY_PG
25D EOR_ABX_PG
259 EOR_ABY_PG
23D AND_ABX_PG
239 AND_ABY_PG
21D ORA_ABX_PG
219 ORA_ABY_PG
27D ADC_ABX_PG
279 ADC_ABY_PG
2FD SBC_ABX_PG
2F9 SBC_ABY_PG
2DD CMP_ABX_PG
2D9 CMP_ABY_PG
# ADY
271 ADC_IDY_PG
231 AND_IDY_PG
2D1 CMP_IDY_PG
251 EOR_IDY_PG
2B1 LDA_IDY_PG
211 ORA_IDY_PG
2F1 SBC_IDY_PG
291 STA_IDY_PG
# STACK
200 BRK_IMP_1
300 BRK_IMP_2
400 BRK_IMP_3
500 BRK_IMP_4
240 RTI_IMP_1
340 RTI_IMP_2
440 RTI_IMP_3
260 RTS_IMP_1
360 RTS_IMP_2
460 RTS_IMP_3
268 PLA_IMP_1
220 JSR_ABS_1
320 JSR_ABS_2
420 JSR_ABS_3
520 JSR_ABS_4
228 PLP_IMP_1
#Error
fff ERROR
